圳	121322
场	121533
圻	1213312
圾	121354
址	1212121
坂	1213354
均	1213541
坊	1214153
坍	1213541
坎	1213534
坏	1211324
坐	3434121
坑	1214135
块	1215134
坚	2254121
坛	1211154
坝	1212534
坞	1213551
坟	1214134
坠	5234121
坡	12153254
坤	12125112
坦	12125111
坨	12144535
坪	12114312
坯	12113241
坳	12155453
坵	12132121
坷	12112512
垂	31212211
垃	12141431
垄	13534121
型	113222121
垒	545454121
垚	121121121
垛	121351234
垠	121511534
垢	121331251
垣	121125111
垦	511534121
垩	122431121
垫	121354121
垭	121122431
垮	121134115
垵	121445531
埂	1211251134
埃	1215431134
埋	1212511211
城	121135534
埔	1211251124
埕	1212511121
埗	1212121233
域	12112511534
埠	12132515112
埤	12132511312
埵	12131212211
執	12143112354
埸	12125113533
培	12141431251
基	12211134121
埼	12113412512
堀	12151352252
堂	24345251121
堃	41534153121
堅	12512554121
堆	12132411121
堇	12212511121
堑	15213312121
堕	52132511121
堙	121125221121
堡	322511234121
堤	121251112134
堪	121122111345
堯	121121121135
堰	121125115315
報	121431125254
場	121251113533
堵	12112132511
堺	121251213432
堿	121131251534
塊	121325113554
塌	1212511541541
塑	4315233511121
塔	121122341251
塗	4413411234121
塘	1214135112251
塚	1214513533434
塞	4451122134121
塢	1213251154444
塩	1213125125221
填	1211225111134
塬	1211332511234
塭	121251125221
塵	41352211535121
塾	41251521354121
墀	121513241343112
境	12141431251135
墅	25112115452121
墉	12141351125112
墊	12143112354121
墒	12141432534251
墓	1222511134121
増	12143251212511
墘	12112251112315
墙	12112431252511
墜	52431353334121
增	121432524312511
墟	12121531522431
墨	254312114444121
墩	121412515213134
墮	52131212511121
墳	121121222511134
墻	1211234341252511
墾	3443533511234121
壁	5132514143112121
壅	4155332411121121
壆	3211343451145121
壇	1214125251125111
壊	1211225221413534
壑	21451343425154121
壓	13251125111344121
壕	12141251451353334
壘	251212512125121121
壞	1214125221241343534
壟	41431251121515111121
壢	1211331234312342121
壤	12141251251112213534
壩	121145244441221251123511
士	121
壬	3121
壮	412121
壯	5213121
声	1215213
売	1214535
壳	1214535
壶	1214522431
壹	121451251431
壺	121452155121
壽	12151211251124
处	35424
备	35425121
変	413234354
复	312511354
夏	1325111354
夔	431325111212151534354
夕	354
外	35424
夙	351354
多	354354
夜	41323544
够	35251354354
夠	35435435251
夢	1222522145354
夥	25111234354354
大	134
天	1134
太	1344
夫	1134
夭	3134
央	25134
夯	13453
失	31134
头	44134
夷	151534
夸	134115
夹	143134
夺	134124
夾	1343434
奂	3525134
奄	13425115
奇	13412512
奈	13411234
奉	11134112
奋	13425121
奎	134121121
奏	111341134
奐	352534134
契	111253134
奔	13412132
奕	413234132
奖	412354134
套	1341211154
奘	5213121134
奚	3443554134
奠	431253511134
奢	13412132511
奥	325431234134
奧	3253431234134
奪	13432411121124
奬	52133544124134
奮	1343241112125121
女	531
奴	53154
